0,0,0,1,0
0.02,0,0,1,0
0.04,-3.4726e-06,-1.1976e-06,0.99999,-2.2478e-05
0.06,-6.5223e-05,-2.2494e-05,0.99988,-0.0004081
0.08,-0.00035994,-0.00012414,0.9995,-0.0021226
0.1,-0.0012278,-0.00042344,0.99863,-0.0065498
0.12,-0.0032006,-0.0011039,0.99714,-0.015231
0.14,-0.0069382,-0.0023933,0.99511,-0.028768
0.16,-0.013043,-0.0045,0.99298,-0.045981
0.18,-0.021938,-0.007572,0.99137,-0.064336
0.2,-0.033786,-0.011684,0.99098,-0.080469
0.22,-0.048628,-0.016898,0.99233,-0.092804
0.24,-0.066448,-0.023279,0.99584,-0.10079
0.26,-0.08721,-0.030897,1.0018,-0.10446
0.28,-0.11089,-0.039821,1.0104,-0.10421
0.3,-0.13751,-0.050126,1.0216,-0.10068
0.32,-0.16707,-0.06189,1.0356,-0.094561
0.34,-0.19965,-0.075196,1.0522,-0.086559
0.36,-0.2353,-0.09012,1.0714,-0.077377
0.38,-0.27408,-0.10673,1.0931,-0.067564
0.4,-0.31608,-0.12506,1.117,-0.05757
0.42,-0.36141,-0.14516,1.143,-0.047757
0.44,-0.41014,-0.16703,1.1708,-0.038413
0.46,-0.46237,-0.19066,1.2002,-0.029762
0.48,-0.51817,-0.216,1.2309,-0.021948
0.5,-0.57763,-0.243,1.2627,-0.015054
0.52,-0.64079,-0.27155,1.2952,-0.0091121
0.54,-0.70771,-0.30152,1.3283,-0.0041166
0.56,-0.77842,-0.33278,1.3615,-3.3892e-05
0.58,-0.85292,-0.36515,1.3947,0.003404
0.6,-0.93107,-0.39842,1.4276,0.0071091
0.62,-1.0127,-0.43239,1.46,0.010629
0.64,-1.0975,-0.46684,1.4915,0.013427
0.66,-1.1853,-0.50158,1.5217,0.015232
0.68,-1.2757,-0.53639,1.5504,0.015892
0.7,-1.3682,-0.57108,1.5771,0.015357
0.72,-1.4625,-0.60543,1.6017,0.01363
0.74,-1.5582,-0.63924,1.6238,0.010773
0.76,-1.6546,-0.6723,1.6433,0.0069037
0.78,-1.7514,-0.70442,1.6601,0.0021125
0.8,-1.8481,-0.73543,1.6741,-0.0035434
0.82,-1.9442,-0.76516,1.6852,-0.010027
0.84,-2.0392,-0.79345,1.6936,-0.017157
0.86,-2.1328,-0.82015,1.6993,-0.02465
0.88,-2.2244,-0.84516,1.7025,-0.032428
0.9,-2.3139,-0.86836,1.7034,-0.040487
0.92,-2.4007,-0.88966,1.7021,-0.048835
0.94,-2.4847,-0.90899,1.6988,-0.057176
0.96,-2.5656,-0.92629,1.6939,-0.065061
0.98,-2.6431,-0.94152,1.6875,-0.07247
1,-2.7171,-0.95463,1.68,-0.079489
1.02,-2.7875,-0.96562,1.6716,-0.086203
1.04,-2.854,-0.97445,1.6624,-0.092266
1.06,-2.9167,-0.98113,1.6528,-0.097171
